net,length_um
_0494_,9.32
_0531_,9.28
_0374_,9.26
_0357_,9.24
_0533_,9.2
net128,9.18
u_window.window_reg\[35\],9.16
_0037_,9.04
u_window.window_reg\[13\],9
_0688_,8.96
_0594_,8.94
_0414_,8.9
net54,8.9
_0247_,8.88
_0317_,8.875
WINDOW_SIZE[2],8.84
_0036_,8.82
_0542_,8.82
_0676_,8.8
u_glitch.cnt\[1\],8.78
THRESHOLD[6],8.72
async_in,8.72
_0576_,8.7
_0587_,8.7
_0326_,8.68
_0478_,8.66
_0228_,8.62
u_window.window_reg\[19\],8.6
u_window.window_reg\[49\],8.58
_0337_,8.56
u_window.window_reg\[12\],8.56
_0429_,8.54
_0612_,8.54
_0378_,8.5
_0492_,8.475
_0603_,8.46
net136,8.46
_0022_,8.44
_0031_,8.44
_0410_,8.44
_0556_,8.44
_0447_,8.42
_0669_,8.4
net62,8.4
_0454_,8.38
_0121_,8.36
_0634_,8.32
_0194_,8.28
net100,8.28
_0385_,8.24
_0602_,8.24
_0086_,8.22
net52,8.2
u_edge.pulse_out,8.14
_0091_,8.1
net11,8.1
_0637_,8.08
net37,8.08
_0006_,8.06
net44,8.06
net138,8.04
_0157_,8.02
_0179_,8.02
_0512_,8.02
_0181_,8.01
_0662_,7.94
net42,7.94
_0266_,7.9
_0313_,7.86
_0338_,7.86
net88,7.86
_0334_,7.78
_0578_,7.78
_0588_,7.76
_0039_,7.74
_0566_,7.74
_0360_,7.72
STABLE_CYCLES[4],7.71
_0388_,7.68
_0549_,7.68
net83,7.68
_0482_,7.64
_0691_,7.64
_0325_,7.6
net56,7.6
_0551_,7.58
_0145_,7.54
_0190_,7.54
_0425_,7.54
_0051_,7.52
_0114_,7.48
_0524_,7.48
_0226_,7.44
_0446_,7.34
net63,7.34
_0298_,7.32
_0554_,7.32
u_window.window_reg\[40\],7.32
_0223_,7.3
net110,7.3
_0341_,7.22
_0122_,7.2
_0046_,7.18
_0053_,7.18
_0327_,7.18
u_window.window_reg\[17\],7.18
net45,7.18
_0651_,7.16
_0004_,7.1
_0439_,7.1
net46,7.1
_0233_,7.08
_0496_,7.06
net59,7.06
_0401_,6.985
_0389_,6.98
_0468_,6.98
_0575_,6.98
u_window.window_reg\[33\],6.98
_0117_,6.94
_0420_,6.94
_0437_,6.94
_0102_,6.91
_0340_,6.86
_0239_,6.84
u_window.window_reg\[47\],6.82
_0277_,6.76
_0408_,6.74
_0412_,6.74
_0506_,6.72
_0106_,6.66
_0087_,6.64
_0290_,6.64
_0534_,6.64
_0640_,6.64
_0648_,6.64
_0183_,6.6
WINDOW_SIZE[4],6.55
_0057_,6.52
_0044_,6.48
_0508_,6.48
_0034_,6.44
STABLE_CYCLES[3],6.43
_0000_,6.42
_0397_,6.4
u_window.window_reg\[52\],6.4
_0383_,6.39
_0264_,6.3
_0457_,6.3
net79,6.3
net87,6.3
net132,6.3
_0071_,6.26
_0112_,6.26
u_window.window_reg\[9\],6.24
_0682_,6.18
u_window.window_reg\[21\],6.18
u_window.window_reg\[60\],6.18
_0591_,6.16
_0196_,6.14
_0234_,6.14
_0444_,6.14
_0569_,6.14
net99,6.14
_0095_,6.09
_0455_,6.06
_0452_,6.02
_0644_,6.02
net55,6.02
THRESHOLD[2],5.97
_0627_,5.96
_0467_,5.94
